Name,Region,state,summit_elev,vertical_drop,base_elev,trams,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekend,projectedDaysOpen,NightSkiing_ac,resort_skiable_area_ac_state_ratio,resort_days_open_state_ratio,resort_terrain_park_state_ratio,resort_night_skiing_state_ratio,resorts_per_state,resorts_per_100kcapita,resorts_per_100ksq_mile,total_chairs_runs_ratio,total_chairs_skiable_ratio,fastQuads_runs_ratio,fastQuads_skiable_ratio
Snowbasin,Utah,Utah,9350,2900,6450,3,1,2,0,3,0,2,11,107.0,4.0,3.5,3000.0,625.0,143.0,79.0,300.0,115.0,138.0,,230.7692307692308,0.09261658031088082,0.15384615384615385,,13,0.4054950189615709,15.312673003757494,0.10280373831775699,0.0036666666666666666,0.018691588785046728,0.0006666666666666666
Snowbird,Salt Lake City,Utah,11000,3240,7760,1,0,6,0,0,4,3,14,170.0,1.0,2.5,2500.0,,188.0,48.0,500.0,125.0,180.0,2.0,192.3076923076923,0.12176165803108807,0.038461538461538464,0.003115264797507788,13,0.4054950189615709,15.312673003757494,0.08235294117647059,0.0056,0.035294117647058816,0.0024
Solitude Mountain Resort,Salt Lake City,Utah,10488,2494,7994,0,0,4,2,1,1,1,9,80.0,,3.0,1200.0,150.0,161.0,62.0,500.0,119.0,148.0,,92.30769230769229,0.10427461139896373,,,13,0.4054950189615709,15.312673003757494,0.1125,0.0075,0.05,0.0033333333333333327
Sundance,Utah,Utah,8250,2150,6100,0,0,0,2,2,0,1,5,45.0,1.0,0.6,450.0,112.0,128.0,50.0,320.0,80.0,129.0,,34.615384615384606,0.08290155440414508,0.038461538461538464,,13,0.4054950189615709,15.312673003757494,0.1111111111111111,0.011111111111111113,0.0,0.0
Nordic Valley Resort,Utah,Utah,6400,960,5440,0,0,0,0,0,2,2,4,23.0,1.0,0.4,140.0,84.0,105.0,51.0,300.0,50.0,105.0,140.0,10.769230769230768,0.06800518134715026,0.038461538461538464,0.2180685358255452,13,0.4054950189615709,15.312673003757494,0.17391304347826084,0.028571428571428567,0.0,0.0
Bolton Valley,Vermont,Vermont,3150,1704,1446,0,0,0,2,0,3,1,6,71.0,3.0,0.6,300.0,90.0,133.0,53.0,300.0,79.0,132.0,50.0,20.0,0.07484524479459764,0.06,1.0,15,2.403888530086268,155.99001663893512,0.08450704225352113,0.02,0.0,0.0
Bromley Mountain,Vermont,Vermont,3284,1334,1950,0,0,1,1,0,4,3,9,47.0,1.0,2.5,178.0,153.0,,83.0,168.0,91.0,152.0,,11.866666666666667,,0.02,,15,2.403888530086268,155.99001663893512,0.1914893617021277,0.05056179775280899,0.02127659574468085,0.005617977528089888
Burke Mountain,Vermont,Vermont,3267,2011,1210,0,0,2,1,0,0,3,6,50.0,3.0,2.2,178.0,125.0,110.0,62.0,217.0,73.0,125.0,,11.866666666666667,0.061902082160945414,0.06,,15,2.403888530086268,155.99001663893512,0.12,0.033707865168539325,0.04,0.011235955056179777
Jay Peak,Vermont,Vermont,3968,2153,1815,1,0,1,3,1,1,2,9,79.0,2.0,3.0,385.0,300.0,155.0,64.0,349.0,89.0,160.0,,25.66666666666667,0.08722566122678672,0.04,,15,2.403888530086268,155.99001663893512,0.1139240506329114,0.023376623376623374,0.012658227848101266,0.002597402597402597
Killington Resort,Vermont,Vermont,4241,3050,1165,3,1,5,4,3,1,5,22,155.0,6.0,6.0,1515.0,600.0,192.0,61.0,250.0,119.0,,,101.0,0.1080472706809229,0.12,,15,2.403888530086268,155.99001663893512,0.14193548387096774,0.014521452145214522,0.03225806451612903,0.0033003300330033004
